Proposal,Observation,Data Type,Intent,Instrument,Filter,Moving,Polygon Boundary,Exposure Start,Exposure End,Level 2 Members,Asteroids,Datalabs
1023,jw01023-o024_t009_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 83.30868717199981 -62.58468797000022 83.30941608300014 -62.616984336000264 83.23884370200025 -62.617303891000205 83.23819148899993 -62.58500717699991,2022-06-09 10:41:46.107,2022-06-09 11:43:14.147,"jw01023024001_02101_00001_mirimage, jw01023024001_02101_00002_mirimage",,True
1023,jw01023-o025_t008_miri_f2550w-sub256,image,calibration,MIRI/IMAGE,F2550W,No,Polygon 83.41477191900006 -62.48578200499977 83.4149598140002 -62.493625082999735 83.39789015199976 -62.493711291000224 83.39770674199983 -62.48586819000002,2022-06-09 11:58:43.387,2022-06-09 12:00:34.209,jw01023025001_02101_00001_mirimage,,True
1023,jw01023-o026_t009_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 83.30789830900021 -62.58515204199987 83.30853574899999 -62.6165475969998 83.2396043739998 -62.61682704700011 83.23903976099977 -62.58543119700024,2022-06-09 12:15:59.300,2022-06-09 12:21:57.280,jw01023026001_02101_00001_mirimage,,True
1023,jw01023-o028_t009_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 83.307915625 -62.5851599830001 83.30851482800016 -62.61655569800023 83.23958312400016 -62.61681736899982 83.23905675099978 -62.58542137800019,2022-06-09 12:48:46.863,2022-06-09 13:00:45.598,jw01023028001_02101_00001_mirimage,,True
1023,jw01023-o029_t003_miri_f560w,image,science,MIRI/IMAGE,F560W,No,Polygon 265.80121145299995 66.93415432600024 265.79293679999995 66.8988945950001 265.708854035 66.90190518999985 265.7170081889997 66.93716927200025,2022-06-16 22:43:43.653,2022-06-16 23:22:48.611,"jw01023029001_02101_00001_mirimage, jw01023029001_02101_00002_mirimage, jw01023029001_02101_00003_mirimage, jw01023029001_02101_00004_mirimage, jw01023029001_02101_00005_mirimage, jw01023029001_02101_00006_mirimage, jw01023029001_02101_00007_mirimage, jw01023029001_02101_00008_mirimage, jw01023029001_02101_00009_mirimage, jw01023029001_02101_00010_mirimage, jw01023029001_02101_00011_mirimage, jw01023029001_02101_00012_mirimage, jw01023029001_02101_00013_mirimage, jw01023029001_02101_00014_mirimage, jw01023029001_02101_00015_mirimage, jw01023029001_02101_00016_mirimage",,True
1023,jw01023-o031_t003_miri_f560w,image,science,MIRI/IMAGE,F560W,No,Polygon 265.8016507540001 66.93228985999976 265.79305318299976 66.89518257700028 265.70850881500024 66.898171511 265.7169788620003 66.93528334000017,2022-06-16 23:50:11.489,2022-06-17 00:49:18.046,"jw01023031001_02101_00001_mirimage, jw01023031001_02101_00002_mirimage, jw01023031001_02101_00003_mirimage, jw01023031001_02101_00004_mirimage, jw01023031001_02101_00005_mirimage, jw01023031001_02101_00006_mirimage, jw01023031001_02101_00007_mirimage, jw01023031001_02101_00008_mirimage, jw01023031001_02101_00009_mirimage, jw01023031001_02101_00010_mirimage, jw01023031001_02101_00011_mirimage, jw01023031001_02101_00012_mirimage, jw01023031001_02101_00013_mirimage, jw01023031001_02101_00014_mirimage, jw01023031001_02101_00015_mirimage, jw01023031001_02101_00016_mirimage, jw01023031001_02101_00017_mirimage, jw01023031001_02101_00018_mirimage, jw01023031001_02101_00019_mirimage, jw01023031001_02101_00020_mirimage, jw01023031001_02101_00021_mirimage, jw01023031001_02101_00022_mirimage, jw01023031001_02101_00023_mirimage, jw01023031001_02101_00024_mirimage",,True
1023,jw01023-o032_t008_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 83.43666871999983 -62.48401802999994 83.42862730000019 -62.51519484900003 83.36041926499992 -62.511426623 83.36853091299974 -62.48025373999994,2022-06-17 05:21:18.452,2022-06-17 05:25:28.206,jw01023032001_02101_00001_mirimage,,True
1023,jw01023-o033_t008_miri_f770w,image,calibration,MIRI/IMAGE,F770W,No,Polygon 83.43478373000025 -62.47968382699993 83.42672108200023 -62.510859471999765 83.35852561100013 -62.507080802999944 83.36665845299987 -62.475909103999975,2022-06-17 05:34:51.571,2022-06-17 05:39:01.325,jw01023033001_02101_00001_mirimage,,True
1023,jw01023-o034_t008_miri_f1000w,image,calibration,MIRI/IMAGE,F1000W,No,Polygon 83.4309569840001 -62.47106331000016 83.42288207400026 -62.5022376439998 83.35470852200022 -62.49845213500002 83.36285357200025 -62.46728175300027,2022-06-17 05:52:59.442,2022-06-17 05:57:09.196,jw01023034001_02101_00001_mirimage,,True
1023,jw01023-o035_t008_miri_f1280w,image,calibration,MIRI/IMAGE,F1280W,No,Polygon 83.42905834199992 -62.46676018400007 83.42097285699995 -62.49793381499996 83.35281058499996 -62.49414282499998 83.36096617999999 -62.462973149999776,2022-06-17 06:05:42.577,2022-06-17 06:09:52.331,jw01023035001_02101_00001_mirimage,,True
