Proposal,Observation,Filter,Moving,Image Intent,Polygon,Exp Start,Exp End,Asteroids,JPL Classification,S/N,JPL Phase Angle (Deg),JPL Sun-Asteroid Dist (AU),JPL Asteroid-JWST Dist (AU),JPL Diameter (km),JPL Geo Albedo,JPL Pos Uncertainty (Arcsec)
1837,jw01837001006_06101_00002_mirimage,F1800W,No,science,Polygon 34.36969627099998 -5.105207255999997 34.40009977 -5.097180516 34.40842226100001 -5.1274800900000015 34.37814310900001 -5.135773411999997,2023-01-16 14:00:50.870,2023-01-16 14:08:17.651,,,,,,,,,
1837,jw01837001006_08101_00001_mirimage,F1800W,No,science,Polygon 34.369675406999995 -5.104722298999998 34.400078885999996 -5.096695568999998 34.40840136000002 -5.126995146000001 34.378122229 -5.135288457999997,2023-01-16 14:13:47.893,2023-01-16 14:21:14.674,,,,,,,,,
1837,jw01837001006_08101_00002_mirimage,F1800W,No,science,Polygon 34.369696069999975 -5.105207194000001 34.40009956700001 -5.097180441000002 34.408422070000015 -5.127480012000002 34.37814292199999 -5.135773346999998,2023-01-16 14:22:37.941,2023-01-16 14:30:04.722,,,,,,,,,
1837,jw01837001007_02101_00001_mirimage,F770W,No,science,Polygon 34.37499060600001 -5.124604999 34.40539577700001 -5.116578154000001 34.41371825600002 -5.146877486999998 34.38343791799999 -5.155171169999999,2023-01-21 02:31:42.008,2023-01-21 02:39:06.014,,,,,,,,,
1837,jw01837001007_02101_00002_mirimage,F770W,No,science,Polygon 34.37501221699998 -5.125089676999999 34.40541743599998 -5.1170629220000015 34.41373983000002 -5.147362280000002 34.38345944400001 -5.155655871999999,2023-01-21 02:40:29.303,2023-01-21 02:47:53.309,,,,,,,,,
1837,jw01837001007_04101_00001_mirimage,F770W,No,science,Polygon 34.37499125800003 -5.124604848999997 34.405396455 -5.116578102000003 34.41371883499998 -5.146877461999998 34.38343847000003 -5.155171046999997,2023-01-21 02:53:12.438,2023-01-21 03:00:36.444,,,,,,,,,
1837,jw01837001007_04101_00002_mirimage,F770W,No,science,Polygon 34.375012051000006 -5.125089619999998 34.405417267000004 -5.1170628590000025 34.413739667999984 -5.147362214000003 34.383459284 -5.155655814000002,2023-01-21 03:01:56.918,2023-01-21 03:09:20.924,,,,,,,,,
1837,jw01837001007_06101_00001_mirimage,F1800W,No,science,Polygon 34.37496684799999 -5.124598977000003 34.40537126900002 -5.116572285000002 34.41369396799999 -5.146871859999998 34.38341389299998 -5.155165135000002,2023-01-21 03:15:16.190,2023-01-21 03:22:42.971,,,,,,,,,
1837,jw01837001007_06101_00002_mirimage,F1800W,No,science,Polygon 34.37498784899998 -5.125083724999999 34.40539229700001 -5.1170570449999975 34.41371498899999 -5.147356624000001 34.38343488699998 -5.155649887,2023-01-21 03:24:03.422,2023-01-21 03:31:30.203,,,,,,,,,
1837,jw01837001007_08101_00001_mirimage,F1800W,No,science,Polygon 34.37496669199997 -5.1245988720000035 34.40537111099997 -5.116572172999999 34.413693817 -5.146871746 34.383413744000016 -5.1551650280000025,2023-01-21 03:36:49.373,2023-01-21 03:44:16.154,,,,,,,,,
