Proposal,Observation,Instrument,Filter,Moving,Polygon,Exp Start,Exp End,Asteroids
1276,jw01276-o004_t001_miri_f1800w,MIRI,F1800W,No,Polygon 121.84069340299976 -66.29845331100022 121.84666069400006 -66.33065244399978 121.76598857200008 -66.33304398599981 121.76012401399976 -66.30084179099977,2023-07-13 11:23:33.983,2023-07-13 11:29:40.278,
1276,jw01276-o004_t001_miri_f2100w,MIRI,F2100W,No,Polygon 121.84066459000019 -66.29846760899986 121.84663186899989 -66.33066674199999 121.76595970000021 -66.333058278 121.76009515399988 -66.30085608299996,2023-07-13 11:32:48.990,2023-07-13 11:38:58.101,
1277,jw01277-o025_t013_miri_f1280w,MIRI,F1280W,No,Polygon 195.1422473010001 12.365054580000024 195.17023258099996 12.34906500199999 195.1538008530001 12.321622035 195.1258175020002 12.337609936999991,2023-06-25 11:31:55.371,2023-06-25 12:45:55.480,
1278,jw01278-o037_t001_miri_f1280w,MIRI,F1280W,No,Polygon 184.523506206 16.42626313500001 184.49369070599988 16.439884264000018 184.50794760500023 16.468593627000004 184.53776651499993 16.45497048300002,2022-12-17 15:26:07.740,2022-12-17 16:09:05.819,
1278,jw01278-o038_t002_miri_f1280w,MIRI,F1280W,No,Polygon 331.1144472339999 -56.78661780499999 331.05696721799984 -56.78317277199998 331.06329931299996 -56.75156492900001 331.12073152499977 -56.755007063000015,2023-06-11 10:02:37.584,2023-06-11 11:00:23.707,
1278,jw01278-o040_t003_miri_f1280w,MIRI,F1280W,No,Polygon 264.6272886160001 27.57144206399999 264.64604648500017 27.544487504999996 264.6155310280003 27.527791850999982 264.5967685210002 27.55474231200002,2023-07-18 17:28:12.097,2023-07-18 18:13:20.608,
1282,jw01282-o001_t007_miri_f1280w,MIRI,F1280W,No,Polygon 68.6984035310001 24.475136106000004 68.7332727710002 24.477039945000016 68.73539405900004 24.444781218000013 68.7005337149999 24.44287786700002,2023-02-27 18:05:00.050,2023-02-27 18:59:45.738,
1282,jw01282-o002_t008_miri_f1280w,MIRI,F1280W,No,Polygon 64.35711410699999 28.33953323299998 64.3931291710002 28.341982610999985 64.39595167399976 28.30976175600002 64.35994745900011 28.307313120000018,2023-02-20 16:30:14.244,2023-02-20 17:55:53.729,['2019 QB44']
1282,jw01282-o003_t009_miri_f1280w,MIRI,F1280W,No,Polygon 66.72881653699997 25.69979563599999 66.76402603200029 25.70185143499998 66.76633974899975 25.669602269999977 66.73113974400023 25.66754702700001,2023-02-20 15:16:00.207,2023-02-20 16:09:50.407,
1282,jw01282-o004_t001_miri_f1280w,MIRI,F1280W,No,Polygon 66.7469056249998 26.090689595000008 66.78179042300019 26.092670459999976 66.78401241100019 26.06103298100001 66.74913699999998 26.059052651000012,2023-02-20 06:27:45.710,2023-02-20 06:44:02.536,
1282,jw01282-o005_t010_miri_f1280w,MIRI,F1280W,No,Polygon 66.7367307459999 26.09784357500002 66.77195989299997 26.099846041 66.77419085899996 26.068116458999977 66.7389712219998 26.066114536,2023-02-20 06:56:04.076,2023-02-20 07:58:19.364,
